0	0	25
68	180	-25
68	180	-25
69	181	-25
69	181	-25
70	182	-25
-68	-180	0
-68	-180	0
-68	-180	0
-68	-180	0
-68	-180	0
68	181	0
68	181	0
69	181	0
70	181	0
70	181	0
4	3	0
-16	-9	0
65	39	0
-130	-77	0
-130	-77	0
194	117	0
194	117	0
-194	-116	0
-194	-116	0
-193	-116	0
194	117	0
194	117	0
-194	-116	0
-194	-116	0
-194	-116	0
194	117	0
194	117	0
-195	-116	0
-195	-116	0
-194	-115	0
196	118	0
196	118	0
-196	-117	0
-196	-117	0
-196	-117	0
196	118	0
196	118	0
-196	-117	0
-196	-117	0
-196	-117	0
196	118	0
196	118	0
-196	-117	0
-196	-117	0
-196	-117	0
196	118	0
196	118	0
-196	-117	0
-196	-117	0
-195	-117	0
197	117	0
197	117	0
-197	-116	0
-197	-116	0
-196	-116	0
198	117	0
198	117	0
-198	-117	0
-198	-117	0
-198	-116	0
199	118	0
199	118	0
-199	-118	0
-199	-118	0
-199	-117	0
133	80	0
133	80	0
134	80	0
-132	-80	0
-132	-80	0
199	121	0
199	121	0
-199	-120	0
-199	-120	0
-199	-120	0
133	80	0
133	80	0
134	81	0
-132	-79	0
-132	-79	0
199	120	0
199	120	0
-199	-120	0
-199	-120	0
-198	-119	0
133	81	0
133	81	0
134	82	0
-131	-80	0
-131	-80	0
197	121	0
197	121	0
-197	-120	0
-197	-120	0
-196	-120	0
199	121	0
199	121	0
-199	-121	0
-199	-121	0
-198	-120	0
133	82	0
133	82	0
134	82	0
-132	-82	0
-132	-82	0
198	124	0
198	124	0
-198	-124	0
-198	-124	0
-198	-123	0
198	125	0
198	125	0
-198	-125	0
-198	-125	0
-197	-124	0
199	126	0
199	126	0
-199	-126	0
-199	-126	0
-199	-125	0
199	127	0
199	127	0
-199	-127	0
-199	-127	0
-198	-126	0
133	85	0
133	85	0
133	86	0
-133	-84	0
-133	-84	0
133	84	0
133	84	0
134	85	0
-132	-83	0
-132	-83	0
198	125	0
198	125	0
-198	-125	0
-198	-125	0
-197	-124	0
199	126	0
199	126	0
-199	-126	0
-199	-126	0
-198	-125	0
133	84	0
133	84	0
134	85	0
-132	-83	0
-132	-83	0
198	125	0
198	125	0
-198	-125	0
-198	-125	0
-197	-125	0
199	125	0
199	125	0
-199	-125	0
-199	-125	0
-198	-124	0
133	84	0
133	84	0
134	84	0
-132	-84	0
-132	-84	0
199	126	0
199	126	0
-199	-126	0
-199	-126	0
-198	-126	0
133	84	0
133	84	0
134	85	0
-132	-83	0
-132	-83	0
199	124	0
199	124	0
-199	-124	0
-199	-124	0
-199	-123	0
133	83	0
133	83	0
133	84	0
-132	-82	0
-132	-82	0
199	124	0
199	124	0
-199	-124	0
